t,kp_lin,ki_lin,kd_lin,kp_ang,ki_ang,kd_ang,v_ref,w_ref_raw,w_ref,v_meas,w_meas,reward
1770696589.0031586,1.2,0.0,0.03,1.23,0.0,0.1,0.0,0.0,0.0,0.0,-9.200551731738107e-05,-5.5203310390428644e-05
1770696589.4106634,1.2,0.0,0.03,1.23,0.0,0.1,0.0,0.0,0.0,0.0,-0.00010163940732018181,-5.1783092660370976e-05
1770696589.8197935,1.2,0.0,0.03,1.23,0.0,0.1,0.0,0.0,0.0,0.0,-0.00010564721484867317,-5.322438817718572e-05
1770696590.2361495,1.2,0.0,0.03,1.23,0.0,0.1,0.0,0.0,0.0,0.0,-2.3418035225985474e-05,-1.9931935575261505e-05
1770696590.6495893,1.2,0.0,0.03,1.23,0.0,0.1,0.0,0.0,0.0,0.0,2.657613353230574e-05,-1.8287483641981992e-05
1770696591.0556452,1.2,0.0,0.03,1.23,0.0,0.1,0.0,0.0,0.0,0.0,0.00011289635842545281,-6.508020170204112e-05
1770696591.4638815,1.2,0.0,0.03,1.23,0.0,0.1,0.0,0.0,0.0,0.0,1.9346757542990666e-05,-1.9028338859741548e-05
1770696591.8714037,1.2,0.0,0.03,1.23,0.0,0.1,0.0,0.0,0.0,0.0,-6.691401233795271e-05,-4.208308315707069e-05
1770696592.2777917,1.2,0.0,0.03,1.23,0.0,0.1,0.0,0.0,0.0,0.0,-0.00014506125361247543,-8.034535093368999e-05
1770696592.6877887,1.2,0.0,0.03,1.23,0.0,0.1,0.0,0.0,0.0,0.0,-0.00023070429876366743,-0.0001239164538969529
1770696593.1008844,1.2,0.0,0.03,1.23,0.0,0.1,0.0,0.0,0.0,0.0,-0.00019673517844357187,-0.0001017645012537955
1770696593.5111828,1.2,0.0,0.03,1.23,0.0,0.1,0.0,0.0,0.0,0.0,-0.00015685296613864388,-8.241470429981475e-05
1770696593.9168932,1.2,0.0,0.03,1.23,0.0,0.1,0.0,0.0,0.0,0.0,-0.0001878447724122011,-9.702156683345626e-05
1770696594.3285134,1.2,0.0,0.03,1.23,0.0,0.1,0.0,0.0,0.0,0.0,-0.00018928122809330829,-9.478425961476486e-05
1770696594.7368257,1.2,0.0,0.03,1.23,0.0,0.1,0.0,0.0,0.0,0.0,-6.6586314258391e-05,-4.556264851268723e-05
1770696595.1427026,1.2,0.0,0.03,1.23,0.0,0.1,0.0,0.0,0.0,0.0,-0.00013758794675204896,-7.589413662539027e-05
1770696595.5505457,1.2,0.0,0.03,1.23,0.0,0.1,0.0,0.0,0.0,0.0,-0.0001493806504737772,-7.586959560906142e-05
1770696595.95816,1.2,0.0,0.03,1.23,0.0,0.1,0.0,0.0,0.0,0.0,-5.650470878835474e-05,-3.753994856271962e-05
1770696596.3725967,1.2,0.0,0.03,1.23,0.0,0.1,0.0,0.0,0.0,0.0,7.367816396977724e-05,-4.985736926070182e-05
1770696596.7875876,1.2,0.0,0.03,1.23,0.0,0.1,0.0,0.0,0.0,0.0,-4.320230799906524e-05,-3.328920119641687e-05
1770696597.1991827,1.2,0.0,0.03,1.23,0.0,0.1,0.0,0.0,0.0,0.0,1.2113437458858833e-05,-1.1588293275221824e-05
