t,kp_lin,ki_lin,kd_lin,kp_ang,ki_ang,kd_ang,v_ref,w_ref,v_meas,w_meas,reward
1770193384.94058,1.2,0.0,0.03,1.23,0.0,0.1,0.0,0.0,0.0,-0.47122907263962205,-0.28273744358377323
1770193385.4113634,1.2,0.0,0.03,1.23,0.0,0.1,0.0,0.0,0.0,-0.36220704159534983,-0.19200572390210213
1770193385.8439655,1.2,0.0,0.03,1.23,0.0,0.1,0.0,0.0,0.0,-0.2907687491066254,-0.15252820380218515
1770193386.2590578,1.2,0.0,0.03,1.23,0.0,0.1,0.0,0.0,0.0,-0.24809883989439363,-0.12831641086842
1770193386.6694868,1.2,0.0,0.03,1.23,0.0,0.1,0.0,0.0,0.0,-0.20879543986295368,-0.10832805993462083
1770193387.0791464,1.2,0.0,0.03,1.23,0.0,0.1,0.0,0.0,0.0,-0.17810378307383506,-0.09212105721582939
1770193387.4875164,1.2,0.0,0.03,1.23,0.0,0.1,0.0,0.0,0.0,-0.15171132192316997,-0.0784949070766515
1770193387.8966537,1.2,0.0,0.03,1.23,0.0,0.1,0.0,0.0,0.0,-0.1290070461013147,-0.06677395063284287
1770193388.3323612,1.2,0.0,0.03,1.23,0.0,0.1,0.0,0.0,0.0,-0.1061787377824762,-0.05537219972312195
1770193388.7380667,1.2,0.0,0.03,1.23,0.0,0.1,0.0,0.0,0.0,-0.08929594738443473,-0.046336252732021514
1770193389.1467981,1.2,0.0,0.03,1.23,0.0,0.1,0.0,0.0,0.0,-0.07455488313830515,-0.03875154799376553
1770193389.5555453,1.2,0.0,0.03,1.23,0.0,0.1,0.0,0.0,0.0,-0.061467939023430694,-0.03204266392320279
1770193389.9639566,1.2,0.0,0.03,1.23,0.0,0.1,0.0,0.0,0.0,-0.0488435802293263,-0.02568422599407359
1770193390.3732674,1.2,0.0,0.03,1.23,0.0,0.1,0.0,0.0,0.0,-0.03881740303647053,-0.02041131923752084
1770193390.7807014,1.2,0.0,0.03,1.23,0.0,0.1,0.0,0.0,0.0,-0.030816341374283795,-0.01620827685336057
1770193391.19061,1.2,0.0,0.03,1.23,0.0,0.1,0.0,0.0,0.0,-0.02448424451288331,-0.012875331942581704
1770193391.5983913,1.2,0.0,0.03,1.23,0.0,0.1,0.0,0.0,0.0,-0.019308025116897724,-0.01017163449804742
1770193392.0096452,1.2,0.0,0.03,1.23,0.0,0.1,0.0,0.0,0.0,-0.015514234153338566,-0.008136496173025198
1770193392.4182298,1.2,0.0,0.03,1.23,0.0,0.1,0.0,0.0,0.0,-0.012491611015076473,-0.0065480678213644455
1770193392.8272107,1.2,0.0,0.03,1.23,0.0,0.1,0.0,0.0,0.0,-0.010010697112522974,-0.005253439946516837
1770193393.2341483,1.2,0.0,0.03,1.23,0.0,0.1,0.0,0.0,0.0,-0.00794096895633781,-0.004177457293787421
1770193393.6403809,1.2,0.0,0.03,1.23,0.0,0.1,0.0,0.0,0.0,-0.006304514414950748,-0.0033159026616140803
1770193394.050721,1.2,0.0,0.03,1.23,0.0,0.1,0.0,0.0,0.0,-0.004984039915680095,-0.002624067407767113
1770193394.4605038,1.2,0.0,0.03,1.23,0.0,0.1,0.0,0.0,0.0,-0.003948460195606372,-0.0020777880698105585
1770193394.8669627,1.2,0.0,0.03,1.23,0.0,0.1,0.0,0.0,0.0,-0.003151911749579577,-0.001655610719392468
1770193395.2786837,1.2,0.0,0.03,1.23,0.0,0.1,0.0,0.0,0.0,-0.0025713047521527463,-0.0013437130758190562
1770193395.687667,1.2,0.0,0.03,1.23,0.0,0.1,0.0,0.0,0.0,-0.002094071369231433,-0.0010947590229078478
1770193396.1012335,1.2,0.0,0.03,1.23,0.0,0.1,0.0,0.0,0.0,-0.001747626725453288,-0.0009084578271044586
1770193396.5066917,1.2,0.0,0.03,1.23,0.0,0.1,0.0,0.0,0.0,-0.0013735445533857426,-0.0007241804938996259
1770193396.915065,1.2,0.0,0.03,1.23,0.0,0.1,0.0,0.0,0.0,-0.0012745773181339814,-0.0006471853825921668
1770193397.340543,1.2,0.0,0.03,1.23,0.0,0.1,0.0,0.0,0.0,-0.0011576865935479569,-0.0005905323692325809
1770193397.7646792,1.2,0.0,0.03,1.23,0.0,0.1,0.0,0.0,0.0,-0.001065914172328723,-0.0005421343282862849
1770193398.1817412,1.2,0.0,0.03,1.23,0.0,0.1,0.0,0.0,0.0,-0.0008430215086585879,-0.00044380002069630746
1770193398.6098416,1.2,0.0,0.03,1.23,0.0,0.1,0.0,0.0,0.0,-0.000803575737156764,-0.00040573244572856437
1770193399.0199149,1.2,0.0,0.03,1.23,0.0,0.1,0.0,0.0,0.0,-0.0008117162488595299,-0.0004066721756000415
1770193399.4324114,1.2,0.0,0.03,1.23,0.0,0.1,0.0,0.0,0.0,-0.0006609851201633536,-0.0003455656729512944
1770193399.842435,1.2,0.0,0.03,1.23,0.0,0.1,0.0,0.0,0.0,-0.0005025289775830798,-0.0002671101030495673
1770193400.2531214,1.2,0.0,0.03,1.23,0.0,0.1,0.0,0.0,0.0,-0.0003303363614054649,-0.00018238744232049393
1770193400.664595,1.2,0.0,0.03,1.23,0.0,0.1,0.0,0.0,0.0,-0.000378355952913931,-0.0001939799356078121
