t,kp_lin,ki_lin,kd_lin,kp_ang,ki_ang,kd_ang,v_ref,w_ref_raw,w_ref,v_meas,w_meas,reward
1770701383.373573,1.2,0.0,0.03,1.23,0.0,0.1,0.0,0.0,0.0,0.0,-0.3421894150045851,-0.20531364900275106
1770701383.8202035,1.2,0.0,0.03,1.23,0.0,0.1,0.0,0.0,0.0,0.0,-0.320499492533142,-0.16241873851371533
1770701384.2323048,1.2,0.0,0.03,1.23,0.0,0.1,0.0,0.0,0.0,0.0,-0.2564433321724602,-0.13462728212229827
1770701384.6408753,1.2,0.0,0.03,1.23,0.0,0.1,0.0,0.0,0.0,0.0,-0.19796100751888612,-0.10482873622480046
1770701385.0510657,1.2,0.0,0.03,1.23,0.0,0.1,0.0,0.0,0.0,0.0,-0.1574361329928439,-0.08277055394902617
1770701385.4568415,1.2,0.0,0.03,1.23,0.0,0.1,0.0,0.0,0.0,0.0,-0.12646944296228374,-0.06633139048419788
1770701385.8637056,1.2,0.0,0.03,1.23,0.0,0.1,0.0,0.0,0.0,0.0,-0.09877400377468919,-0.05215654580610405
1770701386.270168,1.2,0.0,0.03,1.23,0.0,0.1,0.0,0.0,0.0,0.0,-0.07899586216670623,-0.04147574524415141
1770701386.6776032,1.2,0.0,0.03,1.23,0.0,0.1,0.0,0.0,0.0,0.0,-0.06117934415512784,-0.032371323878721756
1770701387.0873327,1.2,0.0,0.03,1.23,0.0,0.1,0.0,0.0,0.0,0.0,-0.04760869198557936,-0.02516141120974453
1770701387.4976325,1.2,0.0,0.03,1.23,0.0,0.1,0.0,0.0,0.0,0.0,-0.037634670367094426,-0.019814737345395707
1770701387.9071772,1.2,0.0,0.03,1.23,0.0,0.1,0.0,0.0,0.0,0.0,-0.031012551331311266,-0.01616848756923395
1770701388.3181982,1.2,0.0,0.03,1.23,0.0,0.1,0.0,0.0,0.0,0.0,-0.022918594996075948,-0.012268693131561505
1770701388.722804,1.2,0.0,0.03,1.23,0.0,0.1,0.0,0.0,0.0,0.0,-0.020364312449194594,-0.010437584479285432
1770701389.1313987,1.2,0.0,0.03,1.23,0.0,0.1,0.0,0.0,0.0,0.0,-0.01614016253987092,-0.008492496260867826
1770701389.5383148,1.2,0.0,0.03,1.23,0.0,0.1,0.0,0.0,0.0,0.0,-0.013282056532291649,-0.006926838866903751
1770701389.943721,1.2,0.0,0.03,1.23,0.0,0.1,0.0,0.0,0.0,0.0,-0.008405218796454792,-0.004690293171811082
1770701390.3521373,1.2,0.0,0.03,1.23,0.0,0.1,0.0,0.0,0.0,0.0,-0.006400706898024743,-0.0034008046388553765
1770701390.7609546,1.2,0.0,0.03,1.23,0.0,0.1,0.0,0.0,0.0,0.0,-0.004813584954979956,-0.002565504671794457
1770701391.169058,1.2,0.0,0.03,1.23,0.0,0.1,0.0,0.0,0.0,0.0,-0.0035689783883835957,-0.0019089498508514339
1770701391.5768476,1.2,0.0,0.03,1.23,0.0,0.1,0.0,0.0,0.0,0.0,-0.001953107061498508,-0.0011381406634377628
1770701391.9886258,1.2,0.0,0.03,1.23,0.0,0.1,0.0,0.0,0.0,0.0,-0.00408733011966354,-0.002257087365648273
1770701392.3963935,1.2,0.0,0.03,1.23,0.0,0.1,0.0,0.0,0.0,0.0,-0.0034670766678668893,-0.0017955636791131097
1770701392.805763,1.2,0.0,0.03,1.23,0.0,0.1,0.0,0.0,0.0,0.0,-0.0015231213833786304,-0.0009559562201381411
1770701393.2144253,1.2,0.0,0.03,1.23,0.0,0.1,0.0,0.0,0.0,0.0,-0.0023232290217799437,-0.0012416252747301031
1770701393.6199157,1.2,0.0,0.03,1.23,0.0,0.1,0.0,0.0,0.0,0.0,0.00015393684072087364,-0.00032468500661051857
1770701394.0440338,1.2,0.0,0.03,1.23,0.0,0.1,0.0,0.0,0.0,0.0,-4.792586801195971e-05,-4.414920487926319e-05
1770701394.4529414,1.2,0.0,0.03,1.23,0.0,0.1,0.0,0.0,0.0,0.0,0.00017360261918198858,-0.00010895415831038912
1770701394.8662167,1.2,0.0,0.03,1.23,0.0,0.1,0.0,0.0,0.0,0.0,-0.0003357520933020432,-0.00021881151789942478
1770701395.2752542,1.2,0.0,0.03,1.23,0.0,0.1,0.0,0.0,0.0,0.0,-0.0004396366788301585,-0.0002302067979678908
1770701395.6824057,1.2,0.0,0.03,1.23,0.0,0.1,0.0,0.0,0.0,0.0,-0.0008952473777207766,-0.0004931847587494501
1770701396.0978012,1.2,0.0,0.03,1.23,0.0,0.1,0.0,0.0,0.0,0.0,-0.0007317678444056371,-0.0003822318755343325
1770701396.5080109,1.2,0.0,0.03,1.23,0.0,0.1,0.0,0.0,0.0,0.0,0.00014081073041090407,-0.00015766322268710617
1770701396.9173703,1.2,0.0,0.03,1.23,0.0,0.1,0.0,0.0,0.0,0.0,0.0010350022445040584,-0.0006069202736613446
1770701397.3229263,1.2,0.0,0.03,1.23,0.0,0.1,0.0,0.0,0.0,0.0,-7.568965515965091e-05,-0.00014891401754619642
1770701397.7339487,1.2,0.0,0.03,1.23,0.0,0.1,0.0,0.0,0.0,0.0,-0.000693647353187704,-0.00040861944639665736
1770701398.1414943,1.2,0.0,0.03,1.23,0.0,0.1,0.0,0.0,0.0,0.0,0.0004688056903184858,-0.0003506481495098619
1770701398.5474136,1.2,0.0,0.03,1.23,0.0,0.1,0.0,0.0,0.0,0.0,0.0008156341165196626,-0.000442499900879949
1770701398.956275,1.2,0.0,0.03,1.23,0.0,0.1,0.0,0.0,0.0,0.0,0.00014765324466132958,-0.0001406247095164981
1770701399.3641572,1.2,0.0,0.03,1.23,0.0,0.1,0.0,0.0,0.0,0.0,-0.0004143841408899007,-0.0002633958090000734
1770701399.7715683,1.2,0.0,0.03,1.23,0.0,0.1,0.0,0.0,0.0,0.0,-0.00196688965030232,-0.001138695376092402
1770701400.1893494,1.2,0.0,0.03,1.23,0.0,0.1,0.0,0.0,0.0,0.0,-0.0002730590429315848,-0.0003059125822028659
1770701400.598885,1.2,0.0,0.03,1.23,0.0,0.1,0.0,0.0,0.0,0.0,-0.0011884935903336002,-0.0006857902499070017
