t,kp_lin,ki_lin,kd_lin,kp_ang,ki_ang,kd_ang,v_ref,w_ref_raw,w_ref,v_meas,w_meas,reward
1770338035.5826616,1.2,0.0,0.03,1.23,0.0,0.1,0.0,0.0,0.0,0.0,-0.0006004131687127703,-0.00036024790122766217
1770338035.9888263,1.2,0.0,0.03,1.23,0.0,0.1,0.0,0.0,0.0,0.0,-0.0014303336108746657,-0.0007981588496535224
1770338036.399948,1.2,0.0,0.03,1.23,0.0,0.1,0.0,0.0,0.0,0.0,-0.00100539586467663,-0.0005451917069581186
1770338036.8124235,1.2,0.0,0.03,1.23,0.0,0.1,0.0,0.0,0.0,0.0,-0.00045964028597575554,-0.0002843957008579652
1770338037.241847,1.2,0.0,0.03,1.23,0.0,0.1,0.0,0.0,0.0,0.0,-0.00087712827364965,-0.0004803129355922145
1770338037.6579518,1.2,0.0,0.03,1.23,0.0,0.1,0.0,0.0,0.0,0.0,-0.00014364076379631485,-0.00014516913288349095
1770338038.0679753,1.2,0.0,0.03,1.23,0.0,0.1,0.0,0.0,0.0,0.0,-0.0011602128897268318,-0.0006817636574564676
1770338038.4824247,1.2,0.0,0.03,1.23,0.0,0.1,0.0,0.0,0.0,0.0,-0.0004102841926328337,-0.00028013496602581666
1770338038.9057925,1.2,0.0,0.03,1.23,0.0,0.1,0.0,0.0,0.0,0.0,-0.0003942355284400278,-0.00019872263063929447
1770338039.325408,1.2,0.0,0.03,1.23,0.0,0.1,0.0,0.0,0.0,0.0,-0.0006603618967095075,-0.0003567935851817017
1770338039.7521887,1.2,0.0,0.03,1.23,0.0,0.1,0.0,0.0,0.0,0.0,-0.0005905626893544148,-0.00030226126541271666
1770338040.1607084,1.2,0.0,0.03,1.23,0.0,0.1,0.0,0.0,0.0,0.0,-0.00019316950187465745,-0.00013632406968530446
1770338040.5750923,1.2,0.0,0.03,1.23,0.0,0.1,0.0,0.0,0.0,0.0,-0.0006294680686462784,-0.0003583638910003013
1770338041.002502,1.2,0.0,0.03,1.23,0.0,0.1,0.0,0.0,0.0,0.0,-0.0006669387752749281,-0.000337216458300329
1770338041.419082,1.2,0.0,0.03,1.23,0.0,0.1,0.0,0.0,0.0,0.0,4.9460151296662675e-05,-9.636996830549042e-05
1770338041.827012,1.2,0.0,0.03,1.23,0.0,0.1,0.0,0.0,0.0,0.0,-0.000432036354791998,-0.0002641678280048651
1770338042.2405865,1.2,0.0,0.03,1.23,0.0,0.1,0.0,0.0,0.0,0.0,0.00013725042986234968,-0.0001255538933966096
1770338042.6647413,1.2,0.0,0.03,1.23,0.0,0.1,0.0,0.0,0.0,0.0,-0.00023645274452973442,-0.00015559668970407562
1770338043.0835435,1.2,0.0,0.03,1.23,0.0,0.1,0.0,0.0,0.0,0.0,-4.9330164113990535e-05,-4.3377340098569656e-05
1770338043.5114555,1.2,0.0,0.03,1.23,0.0,0.1,0.0,0.0,0.0,0.0,5.344657966724776e-05,-3.700096421174771e-05
1770338043.9239967,1.2,0.0,0.03,1.23,0.0,0.1,0.0,0.0,0.0,0.0,-0.0007903046323943451,-0.00047952743740333186
1770338044.33772,1.2,0.0,0.03,1.23,0.0,0.1,0.0,0.0,0.0,0.0,0.00040711453380777585,-0.00032329918352410003
1770338044.7496812,1.2,0.0,0.03,1.23,0.0,0.1,0.0,0.0,0.0,0.0,-0.0003520005419333718,-0.0002519117785408007
1770338045.1625109,1.2,0.0,0.03,1.23,0.0,0.1,0.0,0.0,0.0,0.0,-0.0006029138964833642,-0.00032654828369668135
1770338045.5766253,1.2,0.0,0.03,1.23,0.0,0.1,0.0,0.0,0.0,0.0,-0.00023831583846677245,-0.00015561772503504539
1770338045.9915445,1.2,0.0,0.03,1.23,0.0,0.1,0.0,0.0,0.0,0.0,0.00010762105715360216,-8.840421813883854e-05
1770338046.404127,1.2,0.0,0.03,1.23,0.0,0.1,0.0,0.0,0.0,0.0,-0.0007319879724104055,-0.0004499548891616035
1770338046.8210764,1.2,0.0,0.03,1.23,0.0,0.1,0.0,0.0,0.0,0.0,-0.0001636663940926612,-0.00013866535487810504
1770338047.2305846,1.2,0.0,0.03,1.23,0.0,0.1,0.0,0.0,0.0,0.0,-0.0005626224870036315,-0.00032120685279291277
1770338047.6413352,1.2,0.0,0.03,1.23,0.0,0.1,0.0,0.0,0.0,0.0,-0.0008093788004383726,-0.00042936503156266044
1770338048.0522575,1.2,0.0,0.03,1.23,0.0,0.1,0.0,0.0,0.0,0.0,-0.0005827847635844819,-0.00031405178547763
1770338048.4672027,1.2,0.0,0.03,1.23,0.0,0.1,0.0,0.0,0.0,0.0,-0.0006656917177457152,-0.00034113655428898095
1770338048.8817499,1.2,0.0,0.03,1.23,0.0,0.1,0.0,0.0,0.0,0.0,-0.00045555024645711555,-0.00024878927035741773
1770338049.3068411,1.2,0.0,0.03,1.23,0.0,0.1,0.0,0.0,0.0,0.0,-0.0002132595287919396,-0.0001308588361624874
1770338049.7193587,1.2,0.0,0.03,1.23,0.0,0.1,0.0,0.0,0.0,0.0,-0.0006266468636246436,-0.0003546621652955922
1770338050.1440682,1.2,0.0,0.03,1.23,0.0,0.1,0.0,0.0,0.0,0.0,-0.0001933137221572777,-0.00013999017522537544
1770338050.5703137,1.2,0.0,0.03,1.23,0.0,0.1,0.0,0.0,0.0,0.0,-0.0010398777183921275,-0.0006045952588195488
1770338050.9800808,1.2,0.0,0.03,1.23,0.0,0.1,0.0,0.0,0.0,0.0,-0.0005744120299518813,-0.0003337525838199653
1770338051.3891435,1.2,0.0,0.03,1.23,0.0,0.1,0.0,0.0,0.0,0.0,-0.0003821469901272458,-0.00021029999904608645
1770338051.7968926,1.2,0.0,0.03,1.23,0.0,0.1,0.0,0.0,0.0,0.0,-9.482433509916285e-05,-7.614443305238972e-05
1770338052.2256856,1.2,0.0,0.03,1.23,0.0,0.1,0.0,0.0,0.0,0.0,-0.0003565243077151437,-0.00020443215111916996
1770338052.6469712,1.2,0.0,0.03,1.23,0.0,0.1,0.0,0.0,0.0,0.0,-0.0003645202375973779,-0.00018305971178691235
1770338053.0579884,1.2,0.0,0.03,1.23,0.0,0.1,0.0,0.0,0.0,0.0,-0.0006344145204968807,-0.0003441966885383906
1770338053.4707878,1.2,0.0,0.03,1.23,0.0,0.1,0.0,0.0,0.0,0.0,0.00037936826759171944,-0.00029106241260471973
1770338053.8928702,1.2,0.0,0.03,1.23,0.0,0.1,0.0,0.0,0.0,0.0,0.0002242356104588188,-0.00012763107094269945
1770338054.3073487,1.2,0.0,0.03,1.23,0.0,0.1,0.0,0.0,0.0,0.0,-0.000356364596067951,-0.00023624231868665249
1770338054.7185104,1.2,0.0,0.03,1.23,0.0,0.1,0.0,0.0,0.0,0.0,-0.0003480269317955484,-0.00017484723232501445
1770338055.1281605,1.2,0.0,0.03,1.23,0.0,0.1,0.0,0.0,0.0,0.0,-0.0006529835017155773,-0.0003569874078497915
1770338055.5393112,1.2,0.0,0.03,1.23,0.0,0.1,0.0,0.0,0.0,0.0,-0.00025985027572479646,-0.00016923846046147632
1770338055.9622297,1.2,0.0,0.03,1.23,0.0,0.1,0.0,0.0,0.0,0.0,-0.0003396781359528985,-0.00017782185399925946
1770338056.375463,1.2,0.0,0.03,1.23,0.0,0.1,0.0,0.0,0.0,0.0,-0.000493190537310173,-0.000261946508790814
1770338056.7888396,1.2,0.0,0.03,1.23,0.0,0.1,0.0,0.0,0.0,0.0,-0.0006462778947215679,-0.0003384476831019234
1770338057.2023227,1.2,0.0,0.03,1.23,0.0,0.1,0.0,0.0,0.0,0.0,-0.00030367951178522526,-0.0001860995941862469
1770338057.6258266,1.2,0.0,0.03,1.23,0.0,0.1,0.0,0.0,0.0,0.0,0.00017393665705258118,-0.00013472994541007124
1770338058.0314336,1.2,0.0,0.03,1.23,0.0,0.1,0.0,0.0,0.0,0.0,0.00021073209785686623,-0.00010904559300886162
1770338058.4392362,1.2,0.0,0.03,1.23,0.0,0.1,0.0,0.0,0.0,0.0,-8.035814289131528e-05,-6.92880955204758e-05
1770338058.849444,1.2,0.0,0.03,1.23,0.0,0.1,0.0,0.0,0.0,0.0,-0.000935570811162692,-0.0005533066724084836
1770338059.2661436,1.2,0.0,0.03,1.23,0.0,0.1,0.0,0.0,0.0,0.0,2.255578678268382e-05,-0.0001070905531858795
1770338059.6860247,1.2,0.0,0.03,1.23,0.0,0.1,0.0,0.0,0.0,0.0,-0.0004870091992540365,-0.0002944610982306903
1770338060.1002622,1.2,0.0,0.03,1.23,0.0,0.1,0.0,0.0,0.0,0.0,-0.0008939378274859808,-0.00048766177656618486
1770338060.5111144,1.2,0.0,0.03,1.23,0.0,0.1,0.0,0.0,0.0,0.0,-0.00037921097110627086,-0.00024107817119110641
1770338060.9248128,1.2,0.0,0.03,1.23,0.0,0.1,0.0,0.0,0.0,0.0,-0.000596024543180363,-0.00031969362879759073
1770338061.3374822,1.2,0.0,0.03,1.23,0.0,0.1,0.0,0.0,0.0,0.0,-0.00016235369469471168,-0.00012454393219592098
1770338061.7536292,1.2,0.0,0.03,1.23,0.0,0.1,0.0,0.0,0.0,0.0,0.00023432658840681696,-0.00015683132251356134
1770338062.1704414,1.2,0.0,0.03,1.23,0.0,0.1,0.0,0.0,0.0,0.0,3.798863904064007e-05,-3.8628114456937726e-05
1770338062.5912976,1.2,0.0,0.03,1.23,0.0,0.1,0.0,0.0,0.0,0.0,-0.00034193214272010535,-0.00020895814953612722
1770338063.0180233,1.2,0.0,0.03,1.23,0.0,0.1,0.0,0.0,0.0,0.0,-9.338579060680575e-06,-3.792864589628276e-05
1770338063.4394248,1.2,0.0,0.03,1.23,0.0,0.1,0.0,0.0,0.0,0.0,-0.0005523440326029775,-0.0003304725616557184
1770338063.8468726,1.2,0.0,0.03,1.23,0.0,0.1,0.0,0.0,0.0,0.0,0.00031741405837991,-0.0002456828382882437
1770338064.2732463,1.2,0.0,0.03,1.23,0.0,0.1,0.0,0.0,0.0,0.0,0.00036465922093552935,-0.0001870541267233266
1770338064.6880245,1.2,0.0,0.03,1.23,0.0,0.1,0.0,0.0,0.0,0.0,-0.0003286917458308762,-0.00023368096959207866
1770338065.0987937,1.2,0.0,0.03,1.23,0.0,0.1,0.0,0.0,0.0,0.0,-8.654525796818446e-05,-6.74872777703614e-05
1770338065.5116298,1.2,0.0,0.03,1.23,0.0,0.1,0.0,0.0,0.0,0.0,-0.0003075689046834411,-0.00017588681701324622
1770338065.9205906,1.2,0.0,0.03,1.23,0.0,0.1,0.0,0.0,0.0,0.0,-0.0007023421141661865,-0.00039064837803136777
1770338066.330617,1.2,0.0,0.03,1.23,0.0,0.1,0.0,0.0,0.0,0.0,-0.00011357928628535419,-0.00011566592593076033
1770338066.7494216,1.2,0.0,0.03,1.23,0.0,0.1,0.0,0.0,0.0,0.0,-0.00034088161365821,-0.00019317103956639057
1770338067.1652293,1.2,0.0,0.03,1.23,0.0,0.1,0.0,0.0,0.0,0.0,-0.00048453672121780936,-0.00025663387136486463
1770338067.5780585,1.2,0.0,0.03,1.23,0.0,0.1,0.0,0.0,0.0,0.0,-0.0005867290143167239,-0.0003035837364682534
1770338067.990772,1.2,0.0,0.03,1.23,0.0,0.1,0.0,0.0,0.0,0.0,-0.0009708686550043771,-0.0005238482915709538
1770338068.4036,1.2,0.0,0.03,1.23,0.0,0.1,0.0,0.0,0.0,0.0,0.00020715800172441592,-0.00022138166653508726
1770338068.813589,1.2,0.0,0.03,1.23,0.0,0.1,0.0,0.0,0.0,0.0,0.0003232390507420165,-0.0001732276302727683
1770338069.2412834,1.2,0.0,0.03,1.23,0.0,0.1,0.0,0.0,0.0,0.0,-0.0006613512547449787,-0.00042913465792118884
1770338069.6599965,1.2,0.0,0.03,1.23,0.0,0.1,0.0,0.0,0.0,0.0,0.00016030626331263838,-0.00016231888346208092
1770338070.0750053,1.2,0.0,0.03,1.23,0.0,0.1,0.0,0.0,0.0,0.0,-0.0004259793790140021,-0.0002716182537396651
1770338070.5017657,1.2,0.0,0.03,1.23,0.0,0.1,0.0,0.0,0.0,0.0,-0.0005033607987543482,-0.0002594185413512087
1770338070.9124837,1.2,0.0,0.03,1.23,0.0,0.1,0.0,0.0,0.0,0.0,0.0002032324065278687,-0.00017227552379215602
1770338071.322991,1.2,0.0,0.03,1.23,0.0,0.1,0.0,0.0,0.0,0.0,-0.0006447543468340964,-0.0004071758487532447
1770338071.7310472,1.2,0.0,0.03,1.23,0.0,0.1,0.0,0.0,0.0,0.0,-0.0008163569256638912,-0.00042533872071492506
1770338072.155981,1.2,0.0,0.03,1.23,0.0,0.1,0.0,0.0,0.0,0.0,-0.0005792020974243983,-0.00031331653153614844
1770338072.5753727,1.2,0.0,0.03,1.23,0.0,0.1,0.0,0.0,0.0,0.0,-0.000906442760581368,-0.00048594544660638094
1770338072.9923215,1.2,0.0,0.03,1.23,0.0,0.1,0.0,0.0,0.0,0.0,-6.54471451668642e-05,-0.0001168231341248825
1770338073.402623,1.2,0.0,0.03,1.23,0.0,0.1,0.0,0.0,0.0,0.0,-7.108928527830812e-05,-3.6108856650298455e-05
1770338073.812213,1.2,0.0,0.03,1.23,0.0,0.1,0.0,0.0,0.0,0.0,-0.0005843848160573824,-0.00034352196110659866
1770338074.2274566,1.2,0.0,0.03,1.23,0.0,0.1,0.0,0.0,0.0,0.0,-0.00014183747704183422,-0.00011517347242247193
