t,kp_lin,ki_lin,kd_lin,kp_ang,ki_ang,kd_ang,v_ref,w_ref_raw,w_ref,v_meas,w_meas,reward
1771835418.8462348,1.2,0.0,0.03,1.23,0.0,0.1,0.0,0.0,0.0,0.0,0.0,-0.0
1771835419.2647343,1.2,0.0,0.03,1.23,0.0,0.1,0.0,0.0,0.0,0.0,-3.6930327090707845e-05,-2.2158196254424706e-05
1771835419.6884284,1.2,0.0,0.03,1.23,0.0,0.1,0.0,0.0,0.0,0.0,-0.00014986396322796023,-8.622534522770536e-05
1771835420.098756,1.2,0.0,0.03,1.23,0.0,0.1,0.0,0.0,0.0,0.0,-0.00013172114025621743,-6.767485242528299e-05
1771835420.5110083,1.2,0.0,0.03,1.23,0.0,0.1,0.0,0.0,0.0,0.0,1.363650059044815e-05,-2.1354014379890632e-05
1771835420.9188838,1.2,0.0,0.03,1.23,0.0,0.1,0.0,0.0,0.0,0.0,5.624138783117265e-05,-3.2381182639658775e-05
1771835421.3291855,1.2,0.0,0.03,1.23,0.0,0.1,0.0,0.0,0.0,0.0,1.3820477206597534e-05,-1.115232966575628e-05
1771835421.743421,1.2,0.0,0.03,1.23,0.0,0.1,0.0,0.0,0.0,0.0,7.473464250964939e-05,-4.345873778512988e-05
1771835422.1548579,1.2,0.0,0.03,1.23,0.0,0.1,0.0,0.0,0.0,0.0,1.806524444897115e-05,-1.4699562030553398e-05
1771835422.5611367,1.2,0.0,0.03,1.23,0.0,0.1,0.0,0.0,0.0,0.0,1.6870515043027954e-05,-8.554730462108296e-06
1771835422.9724405,1.2,0.0,0.03,1.23,0.0,0.1,0.0,0.0,0.0,0.0,7.379577448985817e-05,-4.259041318961211e-05
1771835423.3792236,1.2,0.0,0.03,1.23,0.0,0.1,0.0,0.0,0.0,0.0,-3.1886911327085586e-05,-2.651172424523717e-05
1771835423.7894716,1.2,0.0,0.03,1.23,0.0,0.1,0.0,0.0,0.0,0.0,-0.0002682656517212395,-0.00015777069990003512
1771835424.202084,1.2,0.0,0.03,1.23,0.0,0.1,0.0,0.0,0.0,0.0,-0.0002767399902627812,-0.00013921742898554478
1771835424.610789,1.2,0.0,0.03,1.23,0.0,0.1,0.0,0.0,0.0,0.0,-0.00030538376270777996,-0.00015555625859838985
1771835425.0181208,1.2,0.0,0.03,1.23,0.0,0.1,0.0,0.0,0.0,0.0,-0.00023027949461963405,-0.00012265017411863162
1771835425.4267924,1.2,0.0,0.03,1.23,0.0,0.1,0.0,0.0,0.0,0.0,-0.00021265331796947677,-0.00010808927664975412
1771835425.839699,1.2,0.0,0.03,1.23,0.0,0.1,0.0,0.0,0.0,0.0,-0.0001302337714560401,-7.335884037936373e-05
1771835426.2499769,1.2,0.0,0.03,1.23,0.0,0.1,0.0,0.0,0.0,0.0,1.1339944240313344e-05,-1.9827343689792018e-05
1771835426.6614811,1.2,0.0,0.03,1.23,0.0,0.1,0.0,0.0,0.0,0.0,-3.519772282453119e-05,-2.225262811875005e-05
1771835427.0672016,1.2,0.0,0.03,1.23,0.0,0.1,0.0,0.0,0.0,0.0,7.234681768952399e-05,-4.692786289616751e-05
1771835427.4737623,1.2,0.0,0.03,1.23,0.0,0.1,0.0,0.0,0.0,0.0,-4.070440308498352e-05,-3.165732361994251e-05
1771835427.880587,1.2,0.0,0.03,1.23,0.0,0.1,0.0,0.0,0.0,0.0,-9.181136161919243e-06,-7.74289477326605e-06
1771835428.2937503,1.2,0.0,0.03,1.23,0.0,0.1,0.0,0.0,0.0,0.0,-7.099983058867237e-06,-3.758106839738819e-06
1771835428.7044501,1.2,0.0,0.03,1.23,0.0,0.1,0.0,0.0,0.0,0.0,-9.974804658199674e-05,-5.913882964331132e-05
1771835429.1146398,1.2,0.0,0.03,1.23,0.0,0.1,0.0,0.0,0.0,0.0,-0.0001988717683109822,-0.00010934825632838965
1771835429.5220034,1.2,0.0,0.03,1.23,0.0,0.1,0.0,0.0,0.0,0.0,-0.00012307076150015755,-6.911548143116124e-05
1771835429.9308543,1.2,0.0,0.03,1.23,0.0,0.1,0.0,0.0,0.0,0.0,-0.00011335817363209553,-5.7650345602853964e-05
1771835430.344108,1.2,0.0,0.03,1.23,0.0,0.1,0.0,0.0,0.0,0.0,-0.0002031477011615337,-0.00011055280333371068
1771835430.7856596,1.2,0.0,0.03,1.23,0.0,0.1,0.0,0.0,0.0,0.0,-6.347859274735163e-05,-4.570620721509402e-05
1771835431.1976118,1.2,0.0,0.03,1.23,0.0,0.1,0.0,0.0,0.0,0.0,-0.00014619770703319594,-8.137076494518241e-05
1771835431.608327,1.2,0.0,0.03,1.23,0.0,0.1,0.0,0.0,0.0,0.0,-6.247472139089246e-05,-3.9609659259676574e-05
1771835432.018044,1.2,0.0,0.03,1.23,0.0,0.1,0.0,0.0,0.0,0.0,-1.3614844156783682e-05,-1.169340980180272e-05
1771835432.4270036,1.2,0.0,0.03,1.23,0.0,0.1,0.0,0.0,0.0,0.0,8.676482730314346e-05,-5.342038079756444e-05
1771835432.8494554,1.2,0.0,0.03,1.23,0.0,0.1,0.0,0.0,0.0,0.0,0.00011324150266132226,-5.926841886647901e-05
1771835433.257679,1.2,0.0,0.03,1.23,0.0,0.1,0.0,0.0,0.0,0.0,-6.666442778505269e-05,-5.132280693716384e-05
