t,kp_lin,ki_lin,kd_lin,kp_ang,ki_ang,kd_ang,v_ref,w_ref_raw,w_ref,v_meas,w_meas,reward
1770704490.3355439,1.2,0.0,0.03,1.23,0.0,0.1,0.0,0.0,0.0,0.0,-0.06635980116205453,-0.03981588069723272
1770704490.7484007,1.2,0.0,0.03,1.23,0.0,0.1,0.0,0.0,0.0,0.0,-0.07579588407598929,-0.03884155032938812
1770704491.1592147,1.2,0.0,0.03,1.23,0.0,0.1,0.0,0.0,0.0,0.0,-0.0862708119710701,-0.04418289877504313
1770704491.5672038,1.2,0.0,0.03,1.23,0.0,0.1,0.0,0.0,0.0,0.0,-0.09728204628449007,-0.04974214657358703
1770704491.9742615,1.2,0.0,0.03,1.23,0.0,0.1,0.0,0.0,0.0,0.0,-0.10826582603786118,-0.055231290994267705
1770704492.3882904,1.2,0.0,0.03,1.23,0.0,0.1,0.0,0.0,0.0,0.0,-0.11757997016008949,-0.059721399492267575
1770704492.8082488,1.2,0.0,0.03,1.23,0.0,0.1,0.0,0.0,0.0,0.0,-0.11368291737154382,-0.05723116396462648
1770704493.2274017,1.2,0.0,0.03,1.23,0.0,0.1,0.0,0.0,0.0,0.0,0.002265758433780311,-0.012727746797422569
1770704493.6390026,1.2,0.0,0.03,1.23,0.0,0.1,0.0,0.0,0.0,0.0,1.2387017163301677,-0.7429944539547226
1770704494.0530472,1.2,0.0,0.03,1.23,0.0,0.1,0.0,0.0,0.0,0.0,0.9754361640591254,-0.5140446372566669
1770704494.4729578,1.2,0.0,0.03,1.23,0.0,0.1,0.0,0.0,0.0,0.0,0.7462735371834949,-0.39605303127931046
1770704494.939787,1.2,0.0,0.03,1.23,0.0,0.1,0.0,0.0,0.0,0.0,0.5147798368232052,-0.28053928844763154
1770704495.3497503,1.2,0.0,0.03,1.23,0.0,0.1,0.0,0.0,0.0,0.0,0.37119265711519556,-0.19995504652839874
1770704495.75804,1.2,0.0,0.03,1.23,0.0,0.1,0.0,0.0,0.0,0.0,0.26155834576529857,-0.141742604017639
1770704496.166519,1.2,0.0,0.03,1.23,0.0,0.1,0.0,0.0,0.0,0.0,0.17780072028527755,-0.09727612269064087
1770704496.5739858,1.2,0.0,0.03,1.23,0.0,0.1,0.0,0.0,0.0,0.0,0.11475819481648254,-0.06368334995512077
1770704496.9790294,1.2,0.0,0.03,1.23,0.0,0.1,0.0,0.0,0.0,0.0,0.06807192613670858,-0.03870458993633168
1770704497.3913326,1.2,0.0,0.03,1.23,0.0,0.1,0.0,0.0,0.0,0.0,0.030567212609477493,-0.019034077657461856
1770704497.8094866,1.2,0.0,0.03,1.23,0.0,0.1,0.0,0.0,0.0,0.0,0.007577272179689255,-0.006087630132823451
1770704498.2429338,1.2,0.0,0.03,1.23,0.0,0.1,0.0,0.0,0.0,0.0,-0.009729249532299433,-0.006595276937348585
1770704498.664414,1.2,0.0,0.03,1.23,0.0,0.1,0.0,0.0,0.0,0.0,-0.019317446464759132,-0.010617542925625537
1770704499.0820405,1.2,0.0,0.03,1.23,0.0,0.1,0.0,0.0,0.0,0.0,-0.024966482224703768,-0.013048144688346348
1770704499.4956465,1.2,0.0,0.03,1.23,0.0,0.1,0.0,0.0,0.0,0.0,-0.027714710958526772,-0.014132178352645686
1770704499.9112246,1.2,0.0,0.03,1.23,0.0,0.1,0.0,0.0,0.0,0.0,-0.027804428257294102,-0.013911185858523785
1770704500.3213494,1.2,0.0,0.03,1.23,0.0,0.1,0.0,0.0,0.0,0.0,-0.02640442485539525,-0.01334221276788751
1770704500.7494779,1.2,0.0,0.03,1.23,0.0,0.1,0.0,0.0,0.0,0.0,-0.02345383151365673,-0.012021975091002217
1770704501.162068,1.2,0.0,0.03,1.23,0.0,0.1,0.0,0.0,0.0,0.0,-0.02016263958558122,-0.01041043898559816
1770704501.587295,1.2,0.0,0.03,1.23,0.0,0.1,0.0,0.0,0.0,0.0,-0.016179893346267023,-0.00848822129706493
1770704502.0058692,1.2,0.0,0.03,1.23,0.0,0.1,0.0,0.0,0.0,0.0,-0.012509895514041029,-0.006621947540243114
1770704502.4209678,1.2,0.0,0.03,1.23,0.0,0.1,0.0,0.0,0.0,0.0,-0.010042937112978165,-0.005268164396595369
1770704502.8353713,1.2,0.0,0.03,1.23,0.0,0.1,0.0,0.0,0.0,0.0,-0.007806364771528545,-0.004126839619909234
1770704503.2584593,1.2,0.0,0.03,1.23,0.0,0.1,0.0,0.0,0.0,0.0,-0.00615933719144754,-0.0032443713537318704
1770704503.6743004,1.2,0.0,0.03,1.23,0.0,0.1,0.0,0.0,0.0,0.0,-0.005046153156658617,-0.0026343949818082007
1770704504.0832486,1.2,0.0,0.03,1.23,0.0,0.1,0.0,0.0,0.0,0.0,-0.004121879318265383,-0.002153367042972015
1770704504.496427,1.2,0.0,0.03,1.23,0.0,0.1,0.0,0.0,0.0,0.0,-0.0032511978079237456,-0.0017126670549960366
1770704504.9150574,1.2,0.0,0.03,1.23,0.0,0.1,0.0,0.0,0.0,0.0,-0.0026810140127999883,-0.00139752538591237
1770704505.3297338,1.2,0.0,0.03,1.23,0.0,0.1,0.0,0.0,0.0,0.0,-0.0021527639414864936,-0.0011292069778745962
1770704505.737475,1.2,0.0,0.03,1.23,0.0,0.1,0.0,0.0,0.0,0.0,-0.0017204176756379483,-0.0009034434644038286
