t,kp_lin,ki_lin,kd_lin,kp_ang,ki_ang,kd_ang,v_ref,w_ref_raw,w_ref,v_meas,w_meas,reward
1770708175.2986963,1.2,0.0,0.03,1.23,0.0,0.1,0.0,0.0,0.0,0.0,0.0,-0.0
1770708175.7176921,1.2,0.0,0.03,1.23,0.0,0.1,0.0,0.0,0.0,0.0,0.0,-0.0
1770708176.1442835,1.2,0.0,0.03,1.23,0.0,0.1,0.0,0.0,0.0,0.0,-9.389630537791182e-05,-5.6337783226747096e-05
1770708176.5747883,1.2,0.0,0.03,1.23,0.0,0.1,0.0,0.0,0.0,0.0,-5.737074347212103e-05,-3.233792792663959e-05
1770708176.9913433,1.2,0.0,0.03,1.23,0.0,0.1,0.0,0.0,0.0,0.0,-8.398145159718212e-05,-4.4651796611097165e-05
1770708177.4054592,1.2,0.0,0.03,1.23,0.0,0.1,0.0,0.0,0.0,0.0,-0.00012049527968178852,-6.38990226493549e-05
1770708177.8196423,1.2,0.0,0.03,1.23,0.0,0.1,0.0,0.0,0.0,0.0,-0.00025789963651705973,-0.00014269025394205698
1770708178.2302442,1.2,0.0,0.03,1.23,0.0,0.1,0.0,0.0,0.0,0.0,-0.0003003070169075073,-0.0001543942464927984
1770708178.6472814,1.2,0.0,0.03,1.23,0.0,0.1,0.0,0.0,0.0,0.0,-0.0003773504855537205,-0.00019637958964148155
1770708179.0589674,1.2,0.0,0.03,1.23,0.0,0.1,0.0,0.0,0.0,0.0,-0.00028583615416590805,-0.00015206951022173526
1770708179.4680626,1.2,0.0,0.03,1.23,0.0,0.1,0.0,0.0,0.0,0.0,-0.0004132314326442638,-0.00021935524416996746
1770708179.8867912,1.2,0.0,0.03,1.23,0.0,0.1,0.0,0.0,0.0,0.0,-0.00027363344827298786,-0.00015077652257362154
1770708180.3060493,1.2,0.0,0.03,1.23,0.0,0.1,0.0,0.0,0.0,0.0,-0.00014092306379932213,-8.373257034702764e-05
1770708180.7191634,1.2,0.0,0.03,1.23,0.0,0.1,0.0,0.0,0.0,0.0,-1.7104295705514624e-05,-2.0934024662138064e-05
1770708181.1348534,1.2,0.0,0.03,1.23,0.0,0.1,0.0,0.0,0.0,0.0,0.0001310652079613882,-8.034955434738437e-05
1770708181.560929,1.2,0.0,0.03,1.23,0.0,0.1,0.0,0.0,0.0,0.0,2.9983833744883585e-05,-2.5100054294092253e-05
1770708181.9712107,1.2,0.0,0.03,1.23,0.0,0.1,0.0,0.0,0.0,0.0,-2.845590280593072e-06,-4.705737542844202e-06
1770708182.380818,1.2,0.0,0.03,1.23,0.0,0.1,0.0,0.0,0.0,0.0,-3.637641361636993e-05,-2.1541289141762653e-05
1770708182.7979953,1.2,0.0,0.03,1.23,0.0,0.1,0.0,0.0,0.0,0.0,-0.00015402403233031115,-8.87767780365497e-05
1770708183.210002,1.2,0.0,0.03,1.23,0.0,0.1,0.0,0.0,0.0,0.0,-0.00014989967465409474,-7.5362273094669e-05
1770708183.6271267,1.2,0.0,0.03,1.23,0.0,0.1,0.0,0.0,0.0,0.0,-0.000278215768948495,-0.00015193949390368753
