t,kp_lin,ki_lin,kd_lin,kp_ang,ki_ang,kd_ang,v_ref,w_ref_raw,w_ref,v_meas,w_meas,reward
1771832939.741853,1.2,0.0,0.03,1.23,0.0,0.1,0.0,0.0,0.0,0.0,0.00013189127759828732,-7.913476655897239e-05
1771832940.1872098,1.2,0.0,0.03,1.23,0.0,0.1,0.0,0.0,0.0,0.0,-8.88877738461824e-06,-1.8522394190599677e-05
1771832940.600006,1.2,0.0,0.03,1.23,0.0,0.1,0.0,0.0,0.0,0.0,-0.0005266436936089757,-0.0003150973384269236
1771832941.0103188,1.2,0.0,0.03,1.23,0.0,0.1,0.0,0.0,0.0,0.0,6.913016617983217e-05,-9.414246906879687e-05
1771832941.437207,1.2,0.0,0.03,1.23,0.0,0.1,0.0,0.0,0.0,0.0,-0.0005167629487648983,-0.0003169707858769222
1771832941.8605456,1.2,0.0,0.03,1.23,0.0,0.1,0.0,0.0,0.0,0.0,-5.0286234657279745e-05,-7.179078873940173e-05
1771832942.2834096,1.2,0.0,0.03,1.23,0.0,0.1,0.0,0.0,0.0,0.0,-0.0002471366370738698,-0.00014325335877859392
1771832942.6981595,1.2,0.0,0.03,1.23,0.0,0.1,0.0,0.0,0.0,0.0,0.00021137768126031732,-0.00015154027246357736
1771832943.109525,1.2,0.0,0.03,1.23,0.0,0.1,0.0,0.0,0.0,0.0,8.937479430862346e-05,-5.6887685849481116e-05
1771832943.5307431,1.2,0.0,0.03,1.23,0.0,0.1,0.0,0.0,0.0,0.0,0.0004532078125913466,-0.0002629872081239456
1771832943.9432814,1.2,0.0,0.03,1.23,0.0,0.1,0.0,0.0,0.0,0.0,-6.708077492475757e-05,-8.556924621398921e-05
1771832944.3522599,1.2,0.0,0.03,1.23,0.0,0.1,0.0,0.0,0.0,0.0,0.00037363276152894054,-0.00023088773440984008
1771832944.7715888,1.2,0.0,0.03,1.23,0.0,0.1,0.0,0.0,0.0,0.0,-0.0006476731838024605,-0.00042596718643437035
1771832945.1972246,1.2,0.0,0.03,1.23,0.0,0.1,0.0,0.0,0.0,0.0,-0.0005225392132314018,-0.00027378300367280673
1771832945.6437495,1.2,0.0,0.03,1.23,0.0,0.1,0.0,0.0,0.0,0.0,-0.0007593673714288076,-0.00040336650153414435
1771832946.073037,1.2,0.0,0.03,1.23,0.0,0.1,0.0,0.0,0.0,0.0,-0.00047592668670518463,-0.0002663074118249546
1771832946.4849021,1.2,0.0,0.03,1.23,0.0,0.1,0.0,0.0,0.0,0.0,-0.0010684017463905553,-0.0005934483791638147
1771832946.9000678,1.2,0.0,0.03,1.23,0.0,0.1,0.0,0.0,0.0,0.0,-0.0001351904305313033,-0.00016091634685157685
1771832947.3137827,1.2,0.0,0.03,1.23,0.0,0.1,0.0,0.0,0.0,0.0,-0.00013280052909066565,-6.663925468939659e-05
1771832947.730512,1.2,0.0,0.03,1.23,0.0,0.1,0.0,0.0,0.0,0.0,7.20547765800958e-05,-5.6512918857124045e-05
1771832948.1382387,1.2,0.0,0.03,1.23,0.0,0.1,0.0,0.0,0.0,0.0,-5.5985195967992525e-05,-4.07965952388051e-05
1771832948.5486937,1.2,0.0,0.03,1.23,0.0,0.1,0.0,0.0,0.0,0.0,-0.0006608389829745221,-0.000390904870187914
1771832948.95858,1.2,0.0,0.03,1.23,0.0,0.1,0.0,0.0,0.0,0.0,0.0006245856675589908,-0.0004408352988328467
1771832949.3861594,1.2,0.0,0.03,1.23,0.0,0.1,0.0,0.0,0.0,0.0,0.0003419462994650497,-0.00019923708654191895
1771832949.794963,1.2,0.0,0.03,1.23,0.0,0.1,0.0,0.0,0.0,0.0,5.7946547847341295e-05,-5.737324908544149e-05
1771832950.2043252,1.2,0.0,0.03,1.23,0.0,0.1,0.0,0.0,0.0,0.0,0.00015957590472492558,-8.995088805022121e-05
1771832950.6167088,1.2,0.0,0.03,1.23,0.0,0.1,0.0,0.0,0.0,0.0,-0.0007664270667135895,-0.0004758138305006463
1771832951.0256298,1.2,0.0,0.03,1.23,0.0,0.1,0.25,-0.09312840851993154,-0.03050280543704821,0.02357615451134409,-0.002099025137102342,-0.24075899544566773
1771832951.442449,1.2,0.0,0.02990073641180992,1.23,0.0,0.1,0.25,-0.09265551969406967,-0.06830539838676444,0.2397315402446515,-0.014379582727918035,-0.038459423343853286
1771832951.8521235,1.2002232299619913,0.0,0.029854940240979195,1.23,0.0,0.1,0.25,-0.10569837076080892,-0.08885621445903638,0.2630849512717313,-0.015960663195967055,-0.04969083495007088
1771832952.2690244,1.200460941953659,0.0,0.029854940240979195,1.23,0.0,0.1,0.25,-0.1175466447126273,-0.10254694464336056,0.2542718935363126,-0.019153415066667207,-0.046287933511729266
1771832952.691693,1.2006705953890084,0.0,0.029854940240979195,1.23,0.0,0.1,0.24625427756166743,-0.13290771857734668,-0.11637771865565784,0.25419975745479645,-0.020495194405321337,-0.056020919952162684
1771832953.10328,1.2008652411890028,0.0,0.029854940240979195,1.23,0.0,0.1,0.23360911995172332,-0.1517579079098791,-0.13239909405298234,0.24246978802970548,-0.0223634160906034,-0.06406532922769985
1771832953.518345,1.2010267209166288,0.0,0.029854940240979195,1.23,0.0,0.1,0.21986303300357646,-0.1722492572110734,-0.1507030111798593,0.2244109814201953,-0.026583340822186517,-0.06702977606861354
1771832953.9285278,1.2010267209166288,0.0,0.029854940240979195,1.23,0.0,0.1,0.0,-0.5,-0.3,0.07176569527449964,-0.04196426606352888,-0.20232165476686942
1771832954.343352,1.2010267209166288,0.0,0.029854940240979195,1.23,0.0,0.10006863306164741,0.0,-0.5,-0.3,-0.00706040185213161,-0.06872226905675448,-0.12537506762307693
1771832954.7645175,1.2010267209166288,0.0,0.029854940240979195,1.23,0.0,0.10013263321340084,0.0,-0.5,-0.3,-0.01020152164294796,-0.11717999790888396,-0.10645729557371893
1771832955.176783,1.2010267209166288,0.0,0.029854940240979195,1.23,0.0,0.10018894408345222,0.0,-0.5,-0.3,-0.004674182483850031,-0.1945460876085605,-0.06513774764953743
1771832955.6000838,1.2010267209166288,0.0,0.029854940240979195,1.23,0.0,0.10018894408345222,0.25,-0.10123512730619527,-0.27944651381836144,0.1098702402374026,-0.25722840251732737,-0.15750704690399112
1771832956.023616,1.2010267209166288,0.0,0.029728256687521937,1.2301895965147018,0.0,0.10018894408345222,0.25,-0.08924077134733815,-0.1770039798592462,0.2474677215643183,-0.29652066949705536,-0.06621984995255908
1771832956.442541,1.2015667209166287,0.0,0.029584690237641337,1.2301895965147018,0.0,0.10014371590793132,0.25,-0.10525752262242147,-0.13436141925161982,0.2536800730500282,-0.2629465062008071,-0.07133003285424669
