t,kp_lin,ki_lin,kd_lin,kp_ang,ki_ang,kd_ang,v_ref,w_ref,v_meas,w_meas,reward
1770269066.7309892,1.2,0.0,0.03,1.23,0.0,0.1,0.0,0.0,0.0,0.0,-0.0
1770269067.1445608,1.2,0.0,0.03,1.23,0.0,0.1,0.0,0.0,0.0,-0.0007046643867715282,-0.0004227986320629169
1770269067.5556471,1.2,0.0,0.03,1.23,0.0,0.1,0.0,0.0,0.0,-0.00040392384364258606,-0.00023203597613418724
1770269067.9707863,1.2,0.0,0.03,1.23,0.0,0.1,0.0,0.0,0.0,-0.00042607549515694283,-0.0002152529127299071
1770269068.3809793,1.2,0.0,0.03,1.23,0.0,0.1,0.0,0.0,0.0,-0.00014554820127471387,-0.00010082683002557983
1770269068.7945282,1.2,0.0,0.03,1.23,0.0,0.1,0.0,0.0,0.0,-0.0006350650410705623,-0.000366484204514866
1770269069.207474,1.2,0.0,0.03,1.23,0.0,0.1,0.0,0.0,0.0,-6.0090280820624135e-05,-8.754261643530587e-05
1770269069.627532,1.2,0.0,0.03,1.23,0.0,0.1,0.0,0.0,0.0,-0.00027982309540822874,-0.00016188482916287483
1770269070.043383,1.2,0.0,0.03,1.23,0.0,0.1,0.0,0.0,0.0,-0.00040345577163144314,-0.000214091153438043
1770269070.456078,1.2,0.0,0.03,1.23,0.0,0.1,0.0,0.0,0.0,-5.926444706085918e-05,-6.405135598748798e-05
1770269070.8915093,1.2,0.0,0.03,1.23,0.0,0.1,0.0,0.0,0.0,-0.0006146754441798298,-0.000362878821801812
1770269071.32458,1.2,0.0,0.03,1.23,0.0,0.1,0.0,0.0,0.0,3.284904878813244e-05,-8.117697369086245e-05
1770269071.7429233,1.2,0.0,0.03,1.23,0.0,0.1,0.0,0.0,0.0,-0.0002404859873239088,-0.00014757649727315853
1770269072.1639283,1.2,0.0,0.03,1.23,0.0,0.1,0.0,0.0,0.0,-0.0009281332407466322,-0.0005328313457155884
1770269072.5763953,1.2,0.0,0.03,1.23,0.0,0.1,0.0,0.0,0.0,-0.0009582411774842766,-0.0004821313824159027
1770269072.9863012,1.2,0.0,0.03,1.23,0.0,0.1,0.0,0.0,0.0,-0.0007747440758422174,-0.0004057217480853146
1770269073.4020562,1.2,0.0,0.03,1.23,0.0,0.1,0.0,0.0,0.0,-0.0005340840023281365,-0.00029110800851547635
1770269073.8117847,1.2,0.0,0.03,1.23,0.0,0.1,0.0,0.0,0.0,0.0004623374037728173,-0.00033081084249650405
1770269074.2339778,1.2,0.0,0.03,1.23,0.0,0.1,0.0,0.0,0.0,0.00025106841220185676,-0.00014666110525802443
1770269074.6538036,1.2,0.0,0.03,1.23,0.0,0.1,0.0,0.0,0.0,0.00024785172342144134,-0.0001242475305887622
1770269075.0716267,1.2,0.0,0.03,1.23,0.0,0.1,0.0,0.0,0.0,-0.0002485658266635914,-0.00017392466834029895
1770269075.49342,1.2,0.0,0.03,1.23,0.0,0.1,0.0,0.0,0.0,-0.00020968058414622413,-0.00010872881632484879
1770269075.9279206,1.2,0.0,0.03,1.23,0.0,0.1,0.0,0.0,0.0,-0.000752607876916599,-0.00043059666773533696
1770269076.3380024,1.2,0.0,0.03,1.23,0.0,0.1,0.0,0.0,0.0,-0.0008431904643626999,-0.00043065349092596007
1770269076.7611985,1.2,0.0,0.03,1.23,0.0,0.1,0.0,0.0,0.0,-0.0009528296311684833,-0.00048737873226482
1770269077.173988,1.2,0.0,0.03,1.23,0.0,0.1,0.0,0.0,0.0,-0.000988181301916231,-0.0004976258180328903
1770269077.587257,1.2,0.0,0.03,1.23,0.0,0.1,0.0,0.0,0.0,-0.0005272814484644369,-0.00030973070957739785
1770269077.998708,1.2,0.0,0.03,1.23,0.0,0.1,0.0,0.0,0.0,-0.00031196705478583084,-0.00017751496676077602
1770269078.412937,1.2,0.0,0.03,1.23,0.0,0.1,0.0,0.0,0.0,-0.0008953408054650611,-0.0005060077778004535
1770269078.8307304,1.2,0.0,0.03,1.23,0.0,0.1,0.0,0.0,0.0,-0.0007467587057750475,-0.0003882375628565251
1770269079.2394142,1.2,0.0,0.03,1.23,0.0,0.1,0.0,0.0,0.0,-0.0004897251949277438,-0.00027056594854860225
1770269079.6516986,1.2,0.0,0.03,1.23,0.0,0.1,0.0,0.0,0.0,-0.0005422005878308994,-0.00027634783320576526
1770269080.0637531,1.2,0.0,0.03,1.23,0.0,0.1,0.0,0.0,0.0,-6.525663796854209e-05,-8.032271397050677e-05
1770269080.473874,1.2,0.0,0.03,1.23,0.0,0.1,0.0,0.0,0.0,-5.319132375287272e-05,-2.7802193298003298e-05
