t,kp_lin,ki_lin,kd_lin,kp_ang,ki_ang,kd_ang,v_ref,w_ref_raw,w_ref,v_meas,w_meas,reward
1770702562.158785,1.2,0.0,0.03,1.23,0.0,0.1,0.0,0.0,0.0,0.0,0.0,-0.0
1770702562.5798824,1.2,0.0,0.03,1.23,0.0,0.1,0.0,0.0,0.0,0.0,-0.000541015684424201,-0.0003246094106545206
1770702562.9983704,1.2,0.0,0.03,1.23,0.0,0.1,0.0,0.0,0.0,0.0,-0.00010794785058568175,-9.72807086766928e-05
1770702563.418057,1.2,0.0,0.03,1.23,0.0,0.1,0.0,0.0,0.0,0.0,0.0003792706988882501,-0.00023835720439151822
1770702563.884622,1.2,0.0,0.03,1.23,0.0,0.1,0.0,0.0,0.0,0.0,0.0006814548522286325,-0.0003709458414483545
1770702564.298647,1.2,0.0,0.03,1.23,0.0,0.1,0.0,0.0,0.0,0.0,0.0009233264763290844,-0.0004858504005745874
1770702564.7155666,1.2,0.0,0.03,1.23,0.0,0.1,0.0,0.0,0.0,0.0,0.00016431362050932396,-0.00015805809583663803
1770702565.1257904,1.2,0.0,0.03,1.23,0.0,0.1,0.0,0.0,0.0,0.0,0.0009553622865706244,-0.0005567860098914422
1770702565.5351677,1.2,0.0,0.03,1.23,0.0,0.1,0.0,0.0,0.0,0.0,0.0006153569428211033,-0.00034167900578550376
1770702565.946623,1.2,0.0,0.03,1.23,0.0,0.1,0.0,0.0,0.0,0.0,0.0005345694972504658,-0.00027536349318229664
1770702566.3591754,1.2,0.0,0.03,1.23,0.0,0.1,0.0,0.0,0.0,0.0,0.0001905221904999307,-0.00012966582592501886
1770702566.77231,1.2,0.0,0.03,1.23,0.0,0.1,0.0,0.0,0.0,0.0,2.3348096189874826e-05,-2.8391457525943e-05
1770702567.1858132,1.2,0.0,0.03,1.23,0.0,0.1,0.0,0.0,0.0,0.0,0.0012297043621928973,-0.0007354878076967509
1770702567.5990136,1.2,0.0,0.03,1.23,0.0,0.1,0.0,0.0,0.0,0.0,0.0006378902468294697,-0.00037812653495107763
1770702568.0314617,1.2,0.0,0.03,1.23,0.0,0.1,0.0,0.0,0.0,0.0,0.0012203570256267716,-0.000668425190693116
1770702568.43904,1.2,0.0,0.03,1.23,0.0,0.1,0.0,0.0,0.0,0.0,-0.00047330539081990463,-0.00040601893705461995
1770702568.8472776,1.2,0.0,0.03,1.23,0.0,0.1,0.0,0.0,0.0,0.0,0.0011318072767187936,-0.0007264149051132667
1770702569.2603962,1.2,0.0,0.03,1.23,0.0,0.1,0.0,0.0,0.0,0.0,-0.0004348888304977227,-0.000374114025970513
1770702569.680482,1.2,0.0,0.03,1.23,0.0,0.1,0.0,0.0,0.0,0.0,-0.0006496231244674741,-0.0003462849916307122
1770702570.0923533,1.2,0.0,0.03,1.23,0.0,0.1,0.0,0.0,0.0,0.0,5.365217534450254e-05,-9.715361765344893e-05
1770702570.506907,1.2,0.0,0.03,1.23,0.0,0.1,0.0,0.0,0.0,0.0,-0.0009288890788316741,-0.0005626986648334547
1770702570.921141,1.2,0.0,0.03,1.23,0.0,0.1,0.0,0.0,0.0,0.0,-0.0008297285410521641,-0.00042478032430403305
1770702571.3313408,1.2,0.0,0.03,1.23,0.0,0.1,0.0,0.0,0.0,0.0,-0.0003178578387249603,-0.00021011598959520052
1770702571.7409422,1.2,0.0,0.03,1.23,0.0,0.1,0.0,0.0,0.0,0.0,0.00026809559033709435,-0.00019264313807475266
1770702572.1613522,1.2,0.0,0.03,1.23,0.0,0.1,0.0,0.0,0.0,0.0,-0.0007234158301298769,-0.00046085905711163556
1770702572.5867205,1.2,0.0,0.03,1.23,0.0,0.1,0.0,0.0,0.0,0.0,9.067969522760826e-05,-0.00012674940014955266
1770702572.9988847,1.2,0.0,0.03,1.23,0.0,0.1,0.0,0.0,0.0,0.0,-0.0008588919201380057,-0.0005244031216055643
1770702573.4159346,1.2,0.0,0.03,1.23,0.0,0.1,0.0,0.0,0.0,0.0,-0.0006199917651004403,-0.0003338858980539767
1770702573.8332794,1.2,0.0,0.03,1.23,0.0,0.1,0.0,0.0,0.0,0.0,-0.0008010897150999242,-0.0004186546525499105
1770702574.2570822,1.2,0.0,0.03,1.23,0.0,0.1,0.0,0.0,0.0,0.0,-0.0007319991801012824,-0.0003729086435505054
1770702574.6843758,1.2,0.0,0.03,1.23,0.0,0.1,0.0,0.0,0.0,0.0,-0.00021428970354615048,-0.00015891579942858844
1770702575.0948505,1.2,0.0,0.03,1.23,0.0,0.1,0.0,0.0,0.0,0.0,0.0005577927056167474,-0.0003561045937246635
1770702575.5109603,1.2,0.0,0.03,1.23,0.0,0.1,0.0,0.0,0.0,0.0,-0.0001311585442763695,-0.00013447439712749646
1770702575.9226902,1.2,0.0,0.03,1.23,0.0,0.1,0.0,0.0,0.0,0.0,0.0002511073082675239,-0.0001637802393881513
1770702576.3346226,1.2,0.0,0.03,1.23,0.0,0.1,0.0,0.0,0.0,0.0,-0.0011121263348561248,-0.0006923865317404272
1770702576.7445593,1.2,0.0,0.03,1.23,0.0,0.1,0.0,0.0,0.0,0.0,5.951149194921438e-05,-0.00014691952865514111
1770702577.1604426,1.2,0.0,0.03,1.23,0.0,0.1,0.0,0.0,0.0,0.0,-0.0003670922762695985,-0.00022620651495668055
1770702577.571658,1.2,0.0,0.03,1.23,0.0,0.1,0.0,0.0,0.0,0.0,-0.0006177254866218602,-0.00033392606434615624
1770702577.9786348,1.2,0.0,0.03,1.23,0.0,0.1,0.0,0.0,0.0,0.0,-0.00011086573020105872,-0.0001061188407426095
1770702578.3920658,1.2,0.0,0.03,1.23,0.0,0.1,0.0,0.0,0.0,0.0,0.000131722128696074,-9.011985023775028e-05
1770702578.816453,1.2,0.0,0.03,1.23,0.0,0.1,0.0,0.0,0.0,0.0,-0.001362145306526147,-0.0008304593967852957
1770702579.228734,1.2,0.0,0.03,1.23,0.0,0.1,0.0,0.0,0.0,0.0,6.125305207920688e-05,-0.00017296636190013883
1770702579.6488874,1.2,0.0,0.03,1.23,0.0,0.1,0.0,0.0,0.0,0.0,0.0005128879257615554,-0.0003016074502490125
1770702580.065932,1.2,0.0,0.03,1.23,0.0,0.1,0.0,0.0,0.0,0.0,-2.8360322267781423e-06,-5.299041191222242e-05
1770702580.477993,1.2,0.0,0.03,1.23,0.0,0.1,0.0,0.0,0.0,0.0,-2.0250818680587655e-05,-1.186688798567478e-05
1770702580.8942952,1.2,0.0,0.03,1.23,0.0,0.1,0.0,0.0,0.0,0.0,0.0003850311126540088,-0.00023304374946046406
1770702581.317933,1.2,0.0,0.03,1.23,0.0,0.1,0.0,0.0,0.0,0.0,-0.00011208952966054687,-0.000105756829061729
1770702581.7357981,1.2,0.0,0.03,1.23,0.0,0.1,0.0,0.0,0.0,0.0,0.0004748576242096359,-0.0002961235274918362
1770702582.1476579,1.2,0.0,0.03,1.23,0.0,0.1,0.0,0.0,0.0,0.0,0.0013679003702240916,-0.0007732544597134914
1770702582.5727215,1.2,0.0,0.03,1.23,0.0,0.1,0.0,0.0,0.0,0.0,-7.006678445800949e-05,-0.00017883010769721486
1770702582.9897788,1.2,0.0,0.03,1.23,0.0,0.1,0.0,0.0,0.0,0.0,0.0006611056674617759,-0.00040367007892286647
1770702583.4044409,1.2,0.0,0.03,1.23,0.0,0.1,0.0,0.0,0.0,0.0,0.00034363424567556615,-0.00020356426501640405
1770702583.8141043,1.2,0.0,0.03,1.23,0.0,0.1,0.0,0.0,0.0,0.0,-0.0003163727855449753,-0.0002241870958945418
