t,kp_lin,ki_lin,kd_lin,kp_ang,ki_ang,kd_ang,v_ref,w_ref_raw,w_ref,v_meas,w_meas,reward
1771831435.3201263,1.2,0.0,0.03,1.23,0.0,0.1,0.0,0.0,0.0,0.0,-0.0006416239839264638,-0.00038497439035587827
1771831435.7429466,1.2,0.0,0.03,1.23,0.0,0.1,0.0,0.0,0.0,0.0,-0.0004778924678983837,-0.0002553193855519999
1771831436.1533663,1.2,0.0,0.03,1.23,0.0,0.1,0.0,0.0,0.0,0.0,-0.0002865087993426441,-0.00016239276652689602
1771831436.5629056,1.2,0.0,0.03,1.23,0.0,0.1,0.0,0.0,0.0,0.0,-0.0002552789557817972,-0.0001307624622469833
1771831436.9738386,1.2,0.0,0.03,1.23,0.0,0.1,0.0,0.0,0.0,0.0,-0.0009963303073410002,-0.0005722702888264204
1771831437.3854709,1.2,0.0,0.03,1.23,0.0,0.1,0.0,0.0,0.0,0.0,-0.0011534133303676712,-0.0005924149674865027
1771831437.7930639,1.2,0.0,0.03,1.23,0.0,0.1,0.0,0.0,0.0,0.0,1.53756464353397e-05,-0.00012456672089797093
1771831438.2018232,1.2,0.0,0.03,1.23,0.0,0.1,0.0,0.0,0.0,0.0,2.861297393408276e-05,-1.5630219716915686e-05
1771831438.6123104,1.2,0.0,0.03,1.23,0.0,0.1,0.0,0.0,0.0,0.0,6.350261222642998e-05,-3.5240269942449715e-05
1771831439.0192292,1.2,0.0,0.03,1.23,0.0,0.1,0.0,0.0,0.0,0.0,-0.0005214733346804487,-0.0003192342620309122
1771831439.4259622,1.2,0.0,0.03,1.23,0.0,0.1,0.0,0.0,0.0,0.0,0.0006643049591618306,-0.0004507303089651432
1771831439.8352642,1.2,0.0,0.03,1.23,0.0,0.1,0.0,0.0,0.0,0.0,0.0003296030058076251,-0.0001982716982392331
1771831440.2421398,1.2,0.0,0.03,1.23,0.0,0.1,0.0,0.0,0.0,0.0,0.0007240837956614221,-0.00040148997681609073
1771831440.6520743,1.2,0.0,0.03,1.23,0.0,0.1,0.0,0.0,0.0,0.0,0.00015021662894351158,-0.00013249503114354686
1771831441.0596576,1.2,0.0,0.03,1.23,0.0,0.1,0.0,0.0,0.0,0.0,-2.687963254935843e-05,-3.114944242396622e-05
1771831441.4656951,1.2,0.0,0.03,1.23,0.0,0.1,0.0,0.0,0.0,0.0,-0.00011182575371184746,-6.440748897217263e-05
1771831441.8701959,1.2,0.0,0.03,1.23,0.0,0.1,0.0,0.0,0.0,0.0,-0.0004449455858335528,-0.0002557847761289469
1771831442.278138,1.2,0.0,0.03,1.23,0.0,0.1,0.0,0.0,0.0,0.0,-0.000791285477157942,-0.00043027672771140996
