t,kp_lin,ki_lin,kd_lin,kp_ang,ki_ang,kd_ang,v_ref,w_ref,v_meas,w_meas,reward
1770192936.2385554,1.2,0.0,0.03,1.23,0.0,0.1,0.0,0.0,0.0,-0.0011927946230716427,-0.0007156767738429856
1770192936.6482582,1.2,0.0,0.03,1.23,0.0,0.1,0.0,0.0,0.0,-0.0006509933230749276,-0.00037967679153713533
1770192937.0621035,1.2,0.0,0.03,1.23,0.0,0.1,0.0,0.0,0.0,4.838378596902374e-06,-6.800235946563418e-05
1770192937.4734604,1.2,0.0,0.03,1.23,0.0,0.1,0.0,0.0,0.0,1.3574023262566003e-05,-7.660576097849365e-06
1770192937.9007144,1.2,0.0,0.03,1.23,0.0,0.1,0.0,0.0,0.0,0.0004748448254861347,-0.00028354949296542425
1770192938.327504,1.2,0.0,0.03,1.23,0.0,0.1,0.0,0.0,0.0,-8.251234649722203e-05,-9.69918904469467e-05
1770192938.7464592,1.2,0.0,0.03,1.23,0.0,0.1,0.0,0.0,0.0,0.00030185812038483785,-0.0001893661068806249
1770192939.152568,1.2,0.0,0.03,1.23,0.0,0.1,0.0,0.0,0.0,7.295254912019201e-05,-5.936683168656059e-05
1770192939.5626123,1.2,0.0,0.03,1.23,0.0,0.1,0.0,0.0,0.0,-0.0004462261342117242,-0.0002750309354390537
1770192939.9711413,1.2,0.0,0.03,1.23,0.0,0.1,0.0,0.0,0.0,-4.524519589709159e-05,-6.272069178000906e-05
1770192940.393734,1.2,0.0,0.03,1.23,0.0,0.1,0.0,0.0,0.0,0.00023480635117913043,-0.00014540833029718742
1770192940.8087866,1.2,0.0,0.03,1.23,0.0,0.1,0.0,0.0,0.0,-0.000174512947121949,-0.00012818840339108245
1770192941.2181654,1.2,0.0,0.03,1.23,0.0,0.1,0.0,0.0,0.0,5.288335486730838e-06,-2.0624296004233404e-05
1770192941.6332898,1.2,0.0,0.03,1.23,0.0,0.1,0.0,0.0,0.0,0.00018358802325337578,-0.00010962398040335238
1770192942.0441346,1.2,0.0,0.03,1.23,0.0,0.1,0.0,0.0,0.0,0.0006773745361604263,-0.0003880659193709182
1770192942.4524286,1.2,0.0,0.03,1.23,0.0,0.1,0.0,0.0,0.0,-0.00014120192572504784,-0.00015245860905107133
1770192942.8668835,1.2,0.0,0.03,1.23,0.0,0.1,0.0,0.0,0.0,-0.0003539908118698027,-0.00019827429454937685
1770192943.2759836,1.2,0.0,0.03,1.23,0.0,0.1,0.0,0.0,0.0,-0.0003396102808046626,-0.00017124319350884533
1770192943.6852977,1.2,0.0,0.03,1.23,0.0,0.1,0.0,0.0,0.0,-1.1983977322658698e-05,-3.8754619009529746e-05
1770192944.0936217,1.2,0.0,0.03,1.23,0.0,0.1,0.0,0.0,0.0,-0.00044741581449572905,-0.00026725109096517157
1770192944.5088232,1.2,0.0,0.03,1.23,0.0,0.1,0.0,0.0,0.0,0.0005214412713014176,-0.00035760634423042347
1770192944.9188738,1.2,0.0,0.03,1.23,0.0,0.1,0.0,0.0,0.0,-0.0001351811527219053,-0.00013325281876328494
1770192945.3317027,1.2,0.0,0.03,1.23,0.0,0.1,0.0,0.0,0.0,4.277169813209384e-05,-3.918113415144684e-05
1770192945.738176,1.2,0.0,0.03,1.23,0.0,0.1,0.0,0.0,0.0,0.00047422900478181183,-0.0002802602330558777
1770192946.1464403,1.2,0.0,0.03,1.23,0.0,0.1,0.0,0.0,0.0,-0.0002682589925707986,-0.00020837829602066035
1770192946.551164,1.2,0.0,0.03,1.23,0.0,0.1,0.0,0.0,0.0,0.0002005783870123084,-0.0001471729314644649
