t,kp_lin,ki_lin,kd_lin,kp_ang,ki_ang,kd_ang,v_ref,w_ref,v_meas,w_meas,reward
1770166181.2326477,1.2,0.0,0.03,1.23,0.0,0.1,0.0,0.0,0.0,-0.00022004203618300399,-0.0001320252217098024
1770166181.6418993,1.2,0.0,0.03,1.23,0.0,0.1,0.0,0.0,0.0,-0.00019015459483594973,-9.806604155268029e-05
1770166182.0572128,1.2,0.0,0.03,1.23,0.0,0.1,0.0,0.0,0.0,-0.00016442430732286544,-8.478518241274114e-05
1770166182.4655542,1.2,0.0,0.03,1.23,0.0,0.1,0.0,0.0,0.0,-9.134560703396235e-05,-5.2980673545871486e-05
1770166182.8721478,1.2,0.0,0.03,1.23,0.0,0.1,0.0,0.0,0.0,-0.00019879648916907889,-0.0001101433327980511
1770166183.2819152,1.2,0.0,0.03,1.23,0.0,0.1,0.0,0.0,0.0,-9.427890099308298e-05,-5.759120931414108e-05
1770166183.6933324,1.2,0.0,0.03,1.23,0.0,0.1,0.0,0.0,0.0,-0.0001207416109338802,-6.301707646101982e-05
1770166184.1000996,1.2,0.0,0.03,1.23,0.0,0.1,0.0,0.0,0.0,-0.00031514825905031507,-0.00017701479433680103
1770166184.5084429,1.2,0.0,0.03,1.23,0.0,0.1,0.0,0.0,0.0,-0.00033803838201262924,-0.00017130820330254603
1770166184.9244576,1.2,0.0,0.03,1.23,0.0,0.1,0.0,0.0,0.0,-0.00046988200981409585,-0.0002481253676871946
1770166185.33636,1.2,0.0,0.03,1.23,0.0,0.1,0.0,0.0,0.0,-0.00041540043541461513,-0.00021314837514725563
1770166185.7418602,1.2,0.0,0.03,1.23,0.0,0.1,0.0,0.0,0.0,-0.0004335220693949582,-0.0002185731980955134
1770166186.1519904,1.2,0.0,0.03,1.23,0.0,0.1,0.0,0.0,0.0,-0.00037005938450033576,-0.00019137596073963013
1770166186.5601742,1.2,0.0,0.03,1.23,0.0,0.1,0.0,0.0,0.0,-0.0002285071607387924,-0.00012840880274555053
1770166186.9734046,1.2,0.0,0.03,1.23,0.0,0.1,0.0,0.0,0.0,-0.00015437364992800206,-8.460017604508007e-05
1770166187.3892546,1.2,0.0,0.03,1.23,0.0,0.1,0.0,0.0,0.0,-0.00020357612856723782,-0.00010670831214754248
1770166187.8002841,1.2,0.0,0.03,1.23,0.0,0.1,0.0,0.0,0.0,-0.0002450065547763962,-0.00012664632000911394
1770166188.2108297,1.2,0.0,0.03,1.23,0.0,0.1,0.0,0.0,0.0,-0.00017218596966112797,-9.33750433420908e-05
1770166188.6216676,1.2,0.0,0.03,1.23,0.0,0.1,0.0,0.0,0.0,-9.708850760759067e-05,-5.605400000914907e-05
1770166189.029865,1.2,0.0,0.03,1.23,0.0,0.1,0.0,0.0,0.0,-0.00015343346452927544,-8.23512279568062e-05
1770166189.4340596,1.2,0.0,0.03,1.23,0.0,0.1,0.0,0.0,0.0,-0.00013871573997556,-7.082964244315154e-05
1770166189.8388448,1.2,0.0,0.03,1.23,0.0,0.1,0.0,0.0,0.0,-0.00027951323696776746,-0.00015383636818310447
1770166190.245627,1.2,0.0,0.03,1.23,0.0,0.1,0.0,0.0,0.0,-0.00038709078390284404,-0.00020430314664492968
1770166190.6666915,1.2,0.0,0.03,1.23,0.0,0.1,0.0,0.0,0.0,-0.00037690034180606533,-0.00018946921511271055
1770166191.0741313,1.2,0.0,0.03,1.23,0.0,0.1,0.0,0.0,0.0,-0.00037005007114825436,-0.00018571006263990827
1770166191.4805336,1.2,0.0,0.03,1.23,0.0,0.1,0.0,0.0,0.0,-0.00030852206598897913,-0.00016041383351041708
1770166191.8914974,1.2,0.0,0.03,1.23,0.0,0.1,0.0,0.0,0.0,-0.000275312468265944,-0.0001409771939052755
1770166192.3003385,1.2,0.0,0.03,1.23,0.0,0.1,0.0,0.0,0.0,-0.00019110257385697885,-0.00010397227636938594
1770166192.7085006,1.2,0.0,0.03,1.23,0.0,0.1,0.0,0.0,0.0,-0.00020611725233623626,-0.00010456009401604387
1770166193.119255,1.2,0.0,0.03,1.23,0.0,0.1,0.0,0.0,0.0,-0.00021216413097770927,-0.00010668675335300193
1770166193.5258107,1.2,0.0,0.03,1.23,0.0,0.1,0.0,0.0,0.0,-0.0002185311173339832,-0.000109902257302619
1770166193.9343622,1.2,0.0,0.03,1.23,0.0,0.1,0.0,0.0,0.0,-0.00026796467693822735,-0.0001389256944295381
1770166194.3407285,1.2,0.0,0.03,1.23,0.0,0.1,0.0,0.0,0.0,-0.0002452764317463287,-0.0001249070403923542
1770166194.746185,1.2,0.0,0.03,1.23,0.0,0.1,0.0,0.0,0.0,-0.0003091879212579573,-0.0001609851095801415
1770166195.1577377,1.2,0.0,0.03,1.23,0.0,0.1,0.0,0.0,0.0,-0.00024936365409824275,-0.00013066425376509282
1770166195.568885,1.2,0.0,0.03,1.23,0.0,0.1,0.0,0.0,0.0,-0.0003800168979551786,-0.00020307377336328288
1770166195.9761112,1.2,0.0,0.03,1.23,0.0,0.1,0.0,0.0,0.0,-0.00045894219071905383,-0.00023736362463591443
1770166196.3928745,1.2,0.0,0.03,1.23,0.0,0.1,0.0,0.0,0.0,-0.00044620184407083993,-0.00022437495670024136
1770166196.8087862,1.2,0.0,0.03,1.23,0.0,0.1,0.0,0.0,0.0,-0.0003878623762344542,-0.00019976513490086567
1770166197.21414,1.2,0.0,0.03,1.23,0.0,0.1,0.0,0.0,0.0,-0.00040346886165709743,-0.00020329507937081305
1770166197.6266189,1.2,0.0,0.03,1.23,0.0,0.1,0.0,0.0,0.0,-0.00032612473159241047,-0.00017079677880267393
1770166198.0361598,1.2,0.0,0.03,1.23,0.0,0.1,0.0,0.0,0.0,-0.0002692702305595349,-0.000140320565383055
1770166198.4435008,1.2,0.0,0.03,1.23,0.0,0.1,0.0,0.0,0.0,-0.00018044586251436705,-9.91053680617003e-05
